Año,Trimestre,Provincia,Otros,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 20 Mbps y 30 Mbps,Entre 30 Mbps y 50 Mbps,Entre 50 Mbps y 100 Mbps,Entre 100 Mbps y 200 Mbps,Entre 200 Mbps y 500 Mbps,Más de 500 Mbps
2022.0,4.0,Buenos Aires,97634.0,28934.0,23347.0,21319.0,238547.0,817733.0,471371.0,1500382.0,239045.0,787871.0,42377.0
2022.0,4.0,Capital Federal,106772.0,516.0,5096.0,286.0,31034.0,61172.0,76893.0,537271.0,73822.0,541365.0,16710.0
2022.0,4.0,Catamarca,2280.0,71.0,315.0,115.0,2601.0,3122.0,30388.0,14136.0,42.0,8173.0,0.0
2022.0,4.0,Chaco,3909.0,461.0,796.0,780.0,15262.0,3050.0,27557.0,39097.0,1731.0,26422.0,48.0
2022.0,4.0,Chubut,20026.0,109.0,1614.0,5910.0,40547.0,16759.0,17508.0,524.0,1.0,26.0,0.0
2022.0,4.0,Córdoba,17610.0,99.0,9929.0,8338.0,135355.0,20818.0,202732.0,257313.0,473.0,225016.0,669.0
2022.0,4.0,Corrientes,7998.0,67.0,3282.0,2959.0,19688.0,3784.0,25838.0,30979.0,2041.0,26866.0,68.0
2022.0,4.0,Entre Ríos,0.0,107.0,4722.0,5452.0,40177.0,22501.0,34033.0,46874.0,1381.0,47981.0,119.0
2022.0,4.0,Formosa,698.0,84.0,245.0,1631.0,20827.0,314.0,980.0,7835.0,0.0,10093.0,18.0
2022.0,4.0,Jujuy,0.0,58.0,1763.0,1639.0,17013.0,335.0,35579.0,7387.0,3.0,3733.0,208.0
2022.0,4.0,La Pampa,16028.0,68.0,1687.0,3403.0,49215.0,4482.0,16547.0,2929.0,3.0,301.0,0.0
2022.0,4.0,La Rioja,0.0,18.0,595.0,8.0,2523.0,5031.0,35334.0,8700.0,137.0,6469.0,2.0
2022.0,4.0,Mendoza,21144.0,103.0,2954.0,4565.0,30976.0,61079.0,90793.0,20096.0,15.0,4085.0,4.0
2022.0,4.0,Misiones,8590.0,51.0,3510.0,11038.0,24584.0,3201.0,27087.0,41171.0,4514.0,28897.0,57.0
2022.0,4.0,Neuquén,2250.0,168.0,994.0,1677.0,37137.0,17391.0,11508.0,30181.0,241.0,31585.0,80.0
2022.0,4.0,Río Negro,29644.0,111.0,1081.0,2759.0,29294.0,12564.0,5393.0,27450.0,496.0,18702.0,225.0
2022.0,4.0,Salta,6747.0,114.0,1197.0,1537.0,29993.0,133.0,28238.0,31271.0,357.0,30019.0,114.0
2022.0,4.0,San Juan,11840.0,24.0,2027.0,1398.0,28671.0,18259.0,9503.0,402.0,0.0,15.0,0.0
2022.0,4.0,San Luis,3353.0,60.0,624.0,491.0,11294.0,78508.0,508.0,149.0,0.0,20.0,1548.0
2022.0,4.0,Santa Cruz,1048.0,51.0,6810.0,2106.0,9510.0,3243.0,5176.0,376.0,0.0,0.0,0.0
2022.0,4.0,Santa Fe,18340.0,468.0,9374.0,9620.0,106147.0,23042.0,129839.0,154142.0,12390.0,156307.0,257.0
2022.0,4.0,Santiago Del Estero,989.0,178.0,1267.0,687.0,25496.0,661.0,971.0,5521.0,0.0,7843.0,10.0
2022.0,4.0,Tierra Del Fuego,2264.0,22.0,902.0,1.0,11648.0,3647.0,1309.0,175.0,33.0,259.0,1.0
2022.0,4.0,Tucumán,15118.0,39.0,1562.0,118.0,29878.0,1375.0,59447.0,54845.0,4.0,39212.0,30.0
2022.0,3.0,Buenos Aires,97634.0,28934.0,23347.0,21319.0,238547.0,817733.0,471371.0,1500382.0,239045.0,787844.0,42376.0
2022.0,3.0,Capital Federal,106772.0,516.0,5096.0,286.0,31034.0,61172.0,76893.0,537271.0,73822.0,541365.0,16710.0
2022.0,3.0,Catamarca,2280.0,71.0,315.0,115.0,2601.0,3122.0,30388.0,14136.0,42.0,8173.0,0.0
2022.0,3.0,Chaco,3909.0,461.0,796.0,780.0,15262.0,3050.0,27557.0,39097.0,1731.0,26422.0,48.0
2022.0,3.0,Chubut,20026.0,109.0,1614.0,5910.0,40547.0,16759.0,17508.0,524.0,1.0,26.0,0.0
2022.0,3.0,Córdoba,17610.0,99.0,9929.0,8338.0,135355.0,20818.0,202732.0,257313.0,461.0,225016.0,669.0
2022.0,3.0,Corrientes,7998.0,67.0,3282.0,2959.0,19688.0,3784.0,25838.0,30979.0,2041.0,26866.0,68.0
2022.0,3.0,Entre Ríos,0.0,107.0,4722.0,5452.0,40177.0,22501.0,34033.0,46874.0,1381.0,47981.0,119.0
2022.0,3.0,Formosa,698.0,84.0,245.0,1631.0,20827.0,314.0,980.0,7835.0,0.0,10093.0,18.0
2022.0,3.0,Jujuy,0.0,58.0,1763.0,1639.0,17013.0,335.0,35579.0,7387.0,1.0,3733.0,208.0
2022.0,3.0,La Pampa,16028.0,68.0,1687.0,3403.0,49215.0,4482.0,16547.0,2929.0,3.0,301.0,0.0
2022.0,3.0,La Rioja,0.0,18.0,595.0,8.0,2523.0,5031.0,35334.0,8700.0,137.0,6469.0,2.0
2022.0,3.0,Mendoza,21144.0,103.0,2954.0,4565.0,30976.0,61079.0,90793.0,20096.0,15.0,4085.0,4.0
2022.0,3.0,Misiones,8590.0,51.0,3510.0,11038.0,24584.0,3201.0,27087.0,41171.0,4514.0,28897.0,57.0
2022.0,3.0,Neuquén,2250.0,168.0,994.0,1677.0,37137.0,17391.0,11508.0,30181.0,241.0,31585.0,80.0
2022.0,3.0,Río Negro,29644.0,111.0,1081.0,2759.0,29294.0,12564.0,5393.0,27450.0,148.0,18618.0,183.0
2022.0,3.0,Salta,6747.0,114.0,1197.0,1537.0,29993.0,133.0,28238.0,31271.0,357.0,30019.0,114.0
2022.0,3.0,San Juan,11840.0,24.0,2027.0,1398.0,28671.0,18259.0,9503.0,402.0,0.0,15.0,0.0
2022.0,3.0,San Luis,3353.0,60.0,624.0,491.0,11294.0,78508.0,508.0,149.0,0.0,20.0,1548.0
2022.0,3.0,Santa Cruz,1048.0,51.0,6810.0,2106.0,9510.0,3243.0,5176.0,376.0,0.0,0.0,0.0
2022.0,3.0,Santa Fe,18340.0,468.0,9374.0,9620.0,106147.0,23042.0,129839.0,154142.0,12390.0,156307.0,257.0
2022.0,3.0,Santiago Del Estero,989.0,178.0,1267.0,687.0,25496.0,661.0,971.0,5521.0,0.0,7843.0,10.0
2022.0,3.0,Tierra Del Fuego,2264.0,22.0,902.0,1.0,11648.0,3647.0,1309.0,175.0,33.0,259.0,1.0
2022.0,3.0,Tucumán,15118.0,39.0,1562.0,118.0,29878.0,1375.0,59447.0,54845.0,4.0,39212.0,30.0
2022.0,2.0,Buenos Aires,65849.0,30639.0,28323.0,24534.0,270704.0,848932.0,1001167.0,1501057.0,126386.0,173632.0,14452.0
2022.0,2.0,Capital Federal,105607.0,517.0,5980.0,334.0,35702.0,84627.0,407125.0,587349.0,49811.0,120082.0,11831.0
2022.0,2.0,Catamarca,2207.0,71.0,413.0,115.0,3563.0,3393.0,27440.0,14685.0,42.0,1759.0,0.0
2022.0,2.0,Chaco,3708.0,461.0,1072.0,780.0,16798.0,15985.0,46077.0,26030.0,0.0,4113.0,40.0
2022.0,2.0,Chubut,20021.0,109.0,1444.0,5486.0,40318.0,15515.0,14056.0,323.0,1.0,25.0,0.0
2022.0,2.0,Córdoba,13426.0,99.0,11971.0,9199.0,151300.0,28772.0,361400.0,225573.0,529.0,31322.0,449.0
