Año,Trimestre,Mbps (Media de bajada),Trimestre.1
2022,4,10656.0,Oct-Dic 2022
2022,3,6246.0,Jul-Sept 2022
2022,2,5844.0,Abr-Jun 2022
2022,1,5511.0,Ene-Mar 2022
2021,4,5234.0,Oct-Dic 2021
2021,3,4846.0,Jul-Sept 2021
2021,2,4563.0,Abr-Jun 2021
2021,1,4311.0,Ene-Mar 2021
2020,4,4236.0,Oct-Dic 2020
2020,3,4067.0,Jul-Sept 2020
2020,2,3832.0,Abr-Jun 2020
2020,1,3752.0,Ene-Mar 2020
2019,4,2826.0,Oct-Dic 2019
2019,3,2418.0,Jul-Sept 2019
2019,2,2033.0,Abr-Jun 2019
2019,1,1738.0,Ene-Mar 2019
2018,4,1595.0,Oct-Dic 2018
2018,3,1536.0,Jul-Sept 2018
2018,2,1385.0,Abr-Jun 2018
2018,1,1322.0,Ene-Mar 2018
2017,4,1201.0,Oct-Dic 2017
2017,3,8340.0,Jul-Sept 2017
2017,2,7160.0,Abr-Jun 2017
2017,1,6620.0,Ene-Mar 2017
2016,4,6340.0,Oct-Dic 2016
2016,3,5940.0,Jul-Sept 2016
2016,2,5420.0,Abr-Jun 2016
2016,1,5080.0,Ene-Mar 2016
2015,4,4990.0,Oct-Dic 2015
2015,3,4790.0,Jul-Sept 2015
2015,2,4550.0,Abr-Jun 2015
2015,1,4350.0,Ene-Mar 2015
2014,4,4160.0,Oct-Dic 2014
2014,3,3870.0,Jul-Sept 2014
2014,2,3760.0,Abr-Jun 2014
2014,1,3620.0,Ene-Mar 2014
