Año,Trimestre,Provincia,Mbps (Media de bajada)
2022,4,Buenos Aires,1110.0
2022,4,Capital Federal,18286.0
2022,4,Catamarca,8333.0
2022,4,Chaco,10402.0
2022,4,Chubut,1592.0
2022,4,Córdoba,10877.0
2022,4,Corrientes,9472.0
2022,4,Entre Ríos,8747.0
2022,4,Formosa,7203.0
2022,4,Jujuy,3932.0
2022,4,La Pampa,1910.0
2022,4,La Rioja,610.0
2022,4,Mendoza,3876.0
2022,4,Misiones,9124.0
2022,4,Neuquén,9537.0
2022,4,Río Negro,7531.0
2022,4,Salta,7593.0
2022,4,San Juan,1639.0
2022,4,San Luis,3067.0
2022,4,Santa Cruz,1433.0
2022,4,Santa Fe,9030.0
2022,4,Santiago Del Estero,3440.0
2022,4,Tierra Del Fuego,1348.0
2022,4,Tucumán,8833.0
2022,3,Buenos Aires,7019.0
2022,3,Capital Federal,10105.0
2022,3,Catamarca,6099.0
2022,3,Chaco,5321.0
2022,3,Chubut,1557.0
2022,3,Córdoba,5632.0
2022,3,Corrientes,4507.0
2022,3,Entre Ríos,4249.0
2022,3,Formosa,3035.0
2022,3,Jujuy,3243.0
2022,3,La Pampa,181.0
2022,3,La Rioja,443.0
2022,3,Mendoza,3416.0
2022,3,Misiones,493.0
2022,3,Neuquén,4781.0
2022,3,Río Negro,3413.0
2022,3,Salta,4133.0
2022,3,San Juan,1584.0
2022,3,San Luis,1933.0
2022,3,Santa Cruz,126.0
2022,3,Santa Fe,4515.0
2022,3,Santiago Del Estero,1769.0
2022,3,Tierra Del Fuego,1101.0
2022,3,Tucumán,5336.0
2022,2,Buenos Aires,6550.0
2022,2,Capital Federal,9397.0
2022,2,Catamarca,5656.0
2022,2,Chaco,5061.0
2022,2,Chubut,1491.0
2022,2,Córdoba,5351.0
2022,2,Corrientes,4331.0
2022,2,Entre Ríos,4003.0
2022,2,Formosa,2847.0
2022,2,Jujuy,2939.0
2022,2,La Pampa,1607.0
2022,2,La Rioja,4328.0
2022,2,Mendoza,2972.0
2022,2,Misiones,4623.0
2022,2,Neuquén,4653.0
2022,2,Río Negro,3326.0
2022,2,Salta,3877.0
2022,2,San Juan,1444.0
2022,2,San Luis,1932.0
2022,2,Santa Cruz,1181.0
2022,2,Santa Fe,4201.0
2022,2,Santiago Del Estero,1634.0
2022,2,Tierra Del Fuego,1097.0
2022,2,Tucumán,5009.0
2022,1,Buenos Aires,6251.0
2022,1,Capital Federal,8822.0
